=== Comprehensive Simulation Summary ===
Simulation Duration: 46948 sec
Total VM Rental Cost (Billing): $3624.5
Total VM Rental Cost (Executaion): $1551.68
Total Energy Consumption: 558604.95 Watt-seconds
Deadline Violation Count: 1 out of 1

Workflow Details:
  Workflow: wf-0 (DEADLINE VIOLATED)
    Arrival Time: 0 sec
    Deadline: 50808.02 sec
    Makespan: 52288.59 sec
    Tasks:
      Task ID00000: Sub-Deadline=30.9 sec, Start=5.0 sec, End=32.3 sec, Execution=27.3 sec, VM=vm-1, Execution-Cost=$0.0341, Energy=12 Ws
      Task ID00001: Sub-Deadline=81.4 sec, Start=39.9 sec, End=95.0 sec, Execution=55.1 sec, VM=vm-9, Execution-Cost=$0.0689, Energy=25 Ws
      Task ID00002: Sub-Deadline=35.7 sec, Start=5.0 sec, End=30.5 sec, Execution=25.5 sec, VM=vm-16, Execution-Cost=$0.0318, Energy=11 Ws
      Task ID00003: Sub-Deadline=53.4 sec, Start=5.0 sec, End=41.3 sec, Execution=36.3 sec, VM=vm-15, Execution-Cost=$0.0453, Energy=16 Ws
      Task ID00004: Sub-Deadline=48.0 sec, Start=5.0 sec, End=39.8 sec, Execution=34.8 sec, VM=vm-14, Execution-Cost=$0.0435, Energy=16 Ws
      Task ID00005: Sub-Deadline=56.4 sec, Start=5.0 sec, End=58.7 sec, Execution=53.7 sec, VM=vm-13, Execution-Cost=$0.0671, Energy=24 Ws
      Task ID00006: Sub-Deadline=41.8 sec, Start=5.0 sec, End=42.5 sec, Execution=37.5 sec, VM=vm-12, Execution-Cost=$0.0469, Energy=17 Ws
      Task ID00007: Sub-Deadline=89.5 sec, Start=35.9 sec, End=103.6 sec, Execution=67.7 sec, VM=vm-6, Execution-Cost=$0.0846, Energy=30 Ws
      Task ID00008: Sub-Deadline=63.7 sec, Start=5.0 sec, End=65.9 sec, Execution=60.9 sec, VM=vm-11, Execution-Cost=$0.0761, Energy=27 Ws
      Task ID00009: Sub-Deadline=38.3 sec, Start=5.0 sec, End=33.5 sec, Execution=28.5 sec, VM=vm-10, Execution-Cost=$0.0356, Energy=13 Ws
      Task ID00010: Sub-Deadline=49.8 sec, Start=5.0 sec, End=39.9 sec, Execution=34.9 sec, VM=vm-9, Execution-Cost=$0.0436, Energy=16 Ws
      Task ID00011: Sub-Deadline=60.9 sec, Start=5.0 sec, End=37.3 sec, Execution=32.3 sec, VM=vm-8, Execution-Cost=$0.0404, Energy=15 Ws
      Task ID00012: Sub-Deadline=77.6 sec, Start=5.0 sec, End=60.0 sec, Execution=55.0 sec, VM=vm-7, Execution-Cost=$0.0688, Energy=25 Ws
      Task ID00013: Sub-Deadline=33.2 sec, Start=5.0 sec, End=35.9 sec, Execution=30.9 sec, VM=vm-6, Execution-Cost=$0.0387, Energy=14 Ws
      Task ID00014: Sub-Deadline=33.0 sec, Start=5.0 sec, End=32.5 sec, Execution=27.5 sec, VM=vm-5, Execution-Cost=$0.0344, Energy=12 Ws
      Task ID00015: Sub-Deadline=69.1 sec, Start=31.7 sec, End=97.4 sec, Execution=65.7 sec, VM=vm-4, Execution-Cost=$0.0822, Energy=30 Ws
      Task ID00016: Sub-Deadline=34.6 sec, Start=5.0 sec, End=31.7 sec, Execution=26.7 sec, VM=vm-4, Execution-Cost=$0.0334, Energy=12 Ws
      Task ID00017: Sub-Deadline=38.6 sec, Start=5.0 sec, End=42.1 sec, Execution=37.1 sec, VM=vm-3, Execution-Cost=$0.0463, Energy=17 Ws
      Task ID00018: Sub-Deadline=48.0 sec, Start=5.0 sec, End=50.5 sec, Execution=45.5 sec, VM=vm-2, Execution-Cost=$0.0569, Energy=20 Ws
      Task ID00019: Sub-Deadline=44.8 sec, Start=40.4 sec, End=46.2 sec, Execution=5.7 sec, VM=vm-10, Execution-Cost=$0.0072, Energy=3 Ws
      Task ID00020: Sub-Deadline=44.6 sec, Start=41.0 sec, End=43.7 sec, Execution=2.8 sec, VM=vm-16, Execution-Cost=$0.0035, Energy=1 Ws
      Task ID00021: Sub-Deadline=45.1 sec, Start=37.9 sec, End=41.6 sec, Execution=3.7 sec, VM=vm-1, Execution-Cost=$0.0046, Energy=2 Ws
      Task ID00022: Sub-Deadline=49.4 sec, Start=41.3 sec, End=49.0 sec, Execution=7.7 sec, VM=vm-15, Execution-Cost=$0.0096, Energy=3 Ws
      Task ID00023: Sub-Deadline=47.4 sec, Start=40.6 sec, End=46.5 sec, Execution=6.0 sec, VM=vm-17, Execution-Cost=$0.0074, Energy=3 Ws
      Task ID00024: Sub-Deadline=52.8 sec, Start=42.5 sec, End=49.1 sec, Execution=6.5 sec, VM=vm-12, Execution-Cost=$0.0082, Energy=3 Ws
      Task ID00025: Sub-Deadline=117.2 sec, Start=104.4 sec, End=118.0 sec, Execution=13.7 sec, VM=vm-66, Execution-Cost=$0.0068, Energy=2 Ws
      Task ID00026: Sub-Deadline=137.1 sec, Start=114.1 sec, End=125.3 sec, Execution=11.2 sec, VM=vm-15, Execution-Cost=$0.0139, Energy=5 Ws
      Task ID00027: Sub-Deadline=129.6 sec, Start=104.4 sec, End=126.6 sec, Execution=22.2 sec, VM=vm-68, Execution-Cost=$0.0111, Energy=4 Ws
      Task ID00028: Sub-Deadline=115.6 sec, Start=105.2 sec, End=114.1 sec, Execution=8.9 sec, VM=vm-15, Execution-Cost=$0.0111, Energy=4 Ws
      Task ID00029: Sub-Deadline=116.1 sec, Start=104.4 sec, End=115.3 sec, Execution=10.9 sec, VM=vm-67, Execution-Cost=$0.0055, Energy=2 Ws
      Task ID00030: Sub-Deadline=123.5 sec, Start=99.4 sec, End=111.3 sec, Execution=11.9 sec, VM=vm-65, Execution-Cost=$0.0149, Energy=5 Ws
      Task ID00031: Sub-Deadline=40.9 sec, Start=33.5 sec, End=36.8 sec, Execution=3.3 sec, VM=vm-10, Execution-Cost=$0.0042, Energy=1 Ws
      Task ID00032: Sub-Deadline=44.8 sec, Start=32.5 sec, End=36.8 sec, Execution=4.3 sec, VM=vm-5, Execution-Cost=$0.0053, Energy=2 Ws
      Task ID00033: Sub-Deadline=44.3 sec, Start=37.3 sec, End=40.4 sec, Execution=3.1 sec, VM=vm-8, Execution-Cost=$0.0039, Energy=1 Ws
      Task ID00034: Sub-Deadline=42.3 sec, Start=30.5 sec, End=33.8 sec, Execution=3.4 sec, VM=vm-16, Execution-Cost=$0.0042, Energy=2 Ws
