Simulation started at: 2025-06-14T02:59:16.249771400
Scheduled Task ID00013 on VM vm-1: Start=0.00, End=232.58, Execution=232.58, Cost=$0.0028, Energy=10.23 Ws
Scheduled Task ID00002 on VM vm-2: Start=0.00, End=379.44, Execution=379.44, Cost=$0.0046, Energy=16.70 Ws
Scheduled Task ID00026 on VM vm-3: Start=633.83, End=691.41, Execution=57.58, Cost=$0.0007, Energy=2.53 Ws
Scheduled Task ID00020 on VM vm-4: Start=633.83, End=692.78, Execution=58.94, Cost=$0.0007, Energy=2.59 Ws
Scheduled Task ID00028 on VM vm-5: Start=633.83, End=697.34, Execution=63.50, Cost=$0.0008, Energy=2.79 Ws
Scheduled Task ID00018 on VM vm-6: Start=633.83, End=702.64, Execution=68.81, Cost=$0.0008, Energy=3.03 Ws
Scheduled Task ID00022 on VM vm-7: Start=633.83, End=708.35, Execution=74.52, Cost=$0.0009, Energy=3.28 Ws
Scheduled Task ID00016 on VM vm-8: Start=633.83, End=743.27, Execution=109.44, Cost=$0.0013, Energy=4.82 Ws
Scheduled Task ID00014 on VM vm-9: Start=633.83, End=747.69, Execution=113.86, Cost=$0.0014, Energy=5.01 Ws
Scheduled Task ID00027 on VM vm-10: Start=698.22, End=700.86, Execution=2.64, Cost=$0.0000, Energy=0.12 Ws
Scheduled Task ID00021 on VM vm-11: Start=699.02, End=702.28, Execution=3.26, Cost=$0.0000, Energy=0.14 Ws
Scheduled Task ID00029 on VM vm-12: Start=701.75, End=703.79, Execution=2.04, Cost=$0.0000, Energy=0.09 Ws
Scheduled Task ID00024 on VM vm-13: Start=633.83, End=765.52, Execution=131.69, Cost=$0.0016, Energy=5.79 Ws
Scheduled Task ID00019 on VM vm-14: Start=707.67, End=710.93, Execution=3.26, Cost=$0.0000, Energy=0.14 Ws
Scheduled Task ID00023 on VM vm-15: Start=712.62, End=716.05, Execution=3.43, Cost=$0.0000, Energy=0.15 Ws
Scheduled Task ID00017 on VM vm-16: Start=747.80, End=751.47, Execution=3.67, Cost=$0.0000, Energy=0.16 Ws
Scheduled Task ID00015 on VM vm-17: Start=753.21, End=756.88, Execution=3.67, Cost=$0.0000, Energy=0.16 Ws
Scheduled Task ID00025 on VM vm-18: Start=770.68, End=772.55, Execution=1.87, Cost=$0.0000, Energy=0.08 Ws
Scheduled Task ID00009 on VM vm-19: Start=780.63, End=858.13, Execution=77.50, Cost=$0.0009, Energy=3.41 Ws
Scheduled Task ID00007 on VM vm-20: Start=780.63, End=867.68, Execution=87.05, Cost=$0.0011, Energy=3.83 Ws
Scheduled Task ID00005 on VM vm-21: Start=780.63, End=873.01, Execution=92.38, Cost=$0.0011, Energy=4.06 Ws
Scheduled Task ID00003 on VM vm-22: Start=780.63, End=874.38, Execution=93.74, Cost=$0.0011, Energy=4.12 Ws
Scheduled Task ID00011 on VM vm-23: Start=780.63, End=930.03, Execution=149.40, Cost=$0.0018, Energy=6.57 Ws
Scheduled Task ID00010 on VM vm-24: Start=863.50, End=865.27, Execution=1.78, Cost=$0.0000, Energy=0.08 Ws
Scheduled Task ID00008 on VM vm-25: Start=873.54, End=875.29, Execution=1.75, Cost=$0.0000, Energy=0.08 Ws
Scheduled Task ID00006 on VM vm-26: Start=879.96, End=881.88, Execution=1.92, Cost=$0.0000, Energy=0.08 Ws
Scheduled Task ID00004 on VM vm-27: Start=880.65, End=882.16, Execution=1.51, Cost=$0.0000, Energy=0.07 Ws
Scheduled Task ID00001 on VM vm-28: Start=936.74, End=937.20, Execution=0.46, Cost=$0.0000, Energy=0.02 Ws
Scheduled Task ID00012 on VM vm-29: Start=936.74, End=940.15, Execution=3.41, Cost=$0.0000, Energy=0.15 Ws
Scheduled Task ID00000 on VM vm-30: Start=940.15, End=940.32, Execution=0.17, Cost=$0.0000, Energy=0.01 Ws
Scheduled Task prepare on VM vm-31: Start=0.00, End=288.00, Execution=288.00, Cost=$0.0035, Energy=12.67 Ws
Scheduled Task autogrid on VM vm-29: Start=940.32, End=1516.32, Execution=576.00, Cost=$0.0070, Energy=25.34 Ws
Scheduled Task autodock88 on VM vm-32: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock18 on VM vm-33: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock17 on VM vm-34: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock19 on VM vm-35: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock98 on VM vm-36: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock10 on VM vm-37: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock97 on VM vm-38: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock12 on VM vm-39: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock11 on VM vm-40: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock99 on VM vm-41: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock14 on VM vm-42: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock13 on VM vm-43: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock16 on VM vm-44: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock15 on VM vm-45: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock30 on VM vm-46: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock29 on VM vm-47: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock28 on VM vm-48: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock21 on VM vm-49: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock20 on VM vm-50: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock23 on VM vm-51: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock22 on VM vm-52: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock25 on VM vm-53: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock24 on VM vm-54: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock27 on VM vm-55: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock26 on VM vm-56: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
Scheduled Task autodock41 on VM vm-57: Start=1516.32, End=5836.32, Execution=4320.00, Cost=$0.0528, Energy=190.08 Ws
